FIPS Code,Year,hs_degree_or_more,no_hs_degree
4005,1970,11775.0,8439.0
4005,1980,25617.0,8818.0
4005,1990,39898.0,10580.0
4005,2000,55272.0,10704.0
4005,2010,68050.0,10082.0
4005,2017,79225.0,7406.0
4007,1970,7017.0,8156.0
4007,1980,13365.0,8307.0
4007,1990,18387.0,8609.0
4007,2000,27496.0,7654.0
4007,2010,32626.0,5739.0
4007,2017,34573.0,5100.0
4009,1970,3641.0,4063.0
4009,1980,7135.0,4649.0
4009,1990,10080.0,4833.0
4009,2000,14588.0,4714.0
4009,2010,18712.0,3469.0
4009,2017,20616.0,3746.0
4011,1970,2510.0,2785.0
4011,1980,3998.0,1855.0
4011,1990,3519.0,1224.0
4011,2000,4295.0,912.0
4011,2010,4578.0,769.0
4011,2017,5031.0,823.0
4012,1990,5661.0,3330.0
4012,2000,9968.0,4421.0
4012,2010,11750.0,4121.0
4012,2017,10895.0,2293.0
4013,1970,306897.0,203922.0
4013,1980,660880.0,220040.0
4013,1990,1095840.0,248814.0
4013,2000,1596366.0,338591.0
4013,2010,2111945.0,339453.0
4013,2017,2663865.0,323350.0
4015,1970,8745.0,6407.0
4015,1980,25052.0,11210.0
4015,1990,48085.0,17954.0
4015,2000,84751.0,24596.0
4015,2010,122069.0,23795.0
4015,2017,145491.0,20263.0
4017,1970,8368.0,11808.0
4017,1980,18638.0,12564.0
4017,1990,26332.0,14436.0
4017,2000,38588.0,15627.0
4017,2010,52319.0,12915.0
4017,2017,60467.0,10137.0
4019,1970,117318.0,68625.0
4019,1980,231724.0,78861.0
4019,1990,341375.0,82657.0
4019,2000,455717.0,90483.0
4019,2010,565207.0,84390.0
4019,2017,631420.0,74298.0
4021,1970,13872.0,19028.0
4021,1980,27503.0,22493.0
4021,1990,46958.0,24763.0
4021,2000,86589.0,32513.0
4021,2010,204860.0,38336.0
4021,2017,268019.0,34951.0
4023,1970,3029.0,3934.0
4023,1980,5890.0,5010.0
4023,1990,9526.0,7124.0
4023,2000,13615.0,8830.0
4023,2010,20592.0,7930.0
4023,2017,23976.0,6773.0
4025,1970,12557.0,10293.0
4025,1980,33628.0,11904.0
4025,1990,60958.0,16320.0
4025,2000,101847.0,18376.0
4025,2010,140941.0,15336.0
4025,2017,169987.0,14488.0
4027,1970,15101.0,14896.0
4027,1980,30415.0,18964.0
4027,1990,40913.0,22111.0
4027,2000,64283.0,33397.0
4027,2010,85521.0,34101.0
4027,2017,100062.0,31273.0
5000,1970,422363.0,635149.0
5000,1980,741481.0,595637.0
5000,1990,992669.0,503481.0
5000,2000,1303751.0,427449.0
5000,2010,1600346.0,320693.0
5000,2017,1792192.0,239655.0
5001,1970,4781.0,8069.0
5001,1980,7128.0,7475.0
5001,1990,8594.0,5465.0
5001,2000,10057.0,3831.0
5001,2010,10851.0,2311.0
5001,2017,10221.0,1668.0
5003,1970,5226.0,7896.0
5003,1980,7882.0,7201.0
5003,1990,9563.0,5659.0
5003,2000,11397.0,4325.0
5003,2010,12201.0,2538.0
5003,2017,11354.0,1868.0
5005,1970,4827.0,5645.0
5005,1980,11211.0,8354.0
5005,1990,15873.0,7491.0
5005,2000,22379.0,6482.0
5005,2010,27300.0,4137.0
5005,2017,28664.0,3318.0
5007,1970,12666.0,16503.0
5007,1980,29782.0,18445.0
5007,1990,48360.0,16315.0
5007,2000,79971.0,19465.0
5007,2010,121474.0,20314.0
5007,2017,169954.0,18623.0
5009,1970,5127.0,6541.0
5009,1980,9739.0,6585.0
5009,1990,12694.0,6071.0
5009,2000,17726.0,5344.0
5009,2010,21874.0,3746.0
5009,2017,23793.0,2467.0
5011,1970,2412.0,4997.0
5011,1980,3950.0,4530.0
5011,1990,4340.0,3391.0
5011,2000,5574.0,2794.0
5011,2010,5782.0,1981.0
5011,2017,6099.0,1006.0
5013,1970,984.0,2159.0
5013,1980,1705.0,1897.0
5013,1990,2388.0,1382.0
5013,2000,2685.0,1221.0
5013,2010,3007.0,804.0
5013,2017,2953.0,509.0
5015,1970,3158.0,4706.0
5015,1980,6145.0,4618.0
5015,1990,8666.0,4012.0
5015,2000,12350.0,4857.0
5015,2010,15588.0,3615.0
5015,2017,17312.0,2868.0
5017,1970,2604.0,6808.0
5017,1980,3947.0,5658.0
5017,1990,4751.0,4527.0
5017,2000,5820.0,3242.0
5017,2010,5852.0,2215.0
5017,2017,5627.0,1438.0
5019,1970,4521.0,6340.0
5019,1980,7232.0,5700.0
5019,1990,8311.0,4494.0
5019,2000,10339.0,3396.0
5019,2010,11436.0,1993.0
5019,2017,11148.0,1276.0
5021,1970,2683.0,8834.0
5021,1980,4983.0,8133.0
5021,1990,5968.0,6482.0
5021,2000,7379.0,4796.0
5021,2010,8618.0,2630.0
5021,2017,8718.0,1624.0
5023,1970,1761.0,4829.0
5023,1980,5458.0,5564.0
5023,1990,8454.0,5394.0
5023,2000,12937.0,4362.0
5023,2010,15851.0,3130.0
5023,2017,16361.0,2251.0
5025,1970,1186.0,2659.0
5025,1980,2175.0,2598.0
5025,1990,3006.0,2011.0
5025,2000,4135.0,1524.0
5025,2010,4986.0,873.0
5025,2017,4973.0,440.0
5027,1970,5509.0,8639.0
5027,1980,8159.0,7367.0
5027,1990,10348.0,5754.0
5027,2000,11878.0,4161.0
5027,2010,12980.0,2384.0
5027,2017,12530.0,1659.0
5029,1970,3497.0,5819.0
5029,1980,5809.0,5604.0
5029,1990,7944.0,4373.0
5029,2000,9863.0,3617.0
5029,2010,11866.0,2431.0
5029,2017,12920.0,1563.0
5031,1970,10697.0,16609.0
5031,1980,19091.0,16279.0
5031,1990,28371.0,13660.0
5031,2000,39210.0,11515.0
5031,2010,51188.0,9252.0
5031,2017,64108.0,6983.0
5033,1970,5241.0,9143.0
5033,1980,11182.0,10100.0
5033,1990,16842.0,9572.0
5033,2000,24137.0,9628.0
5033,2010,32680.0,7574.0
5033,2017,35122.0,5971.0
5035,1970,7086.0,15595.0
5035,1980,11808.0,13778.0
5035,1990,16763.0,12344.0
5035,2000,20925.0,9326.0
5035,2010,24593.0,6674.0
5035,2017,26163.0,4409.0
5037,1970,2757.0,7237.0
5037,1980,4832.0,6274.0
5037,1990,6489.0,5130.0
5037,2000,8482.0,3930.0
5037,2010,9618.0,2408.0
5037,2017,9654.0,1912.0
5039,1970,1877.0,3992.0
5039,1980,3312.0,3064.0
5039,1990,3773.0,2603.0
5039,2000,4003.0,1986.0
5039,2010,4454.0,1057.0
5039,2017,4131.0,540.0
5041,1970,3004.0,6532.0
5041,1980,4909.0,5710.0
5041,1990,5627.0,4326.0
5041,2000,6223.0,3351.0
5041,2010,6526.0,2094.0
5041,2017,6074.0,1617.0
5043,1970,2715.0,5127.0
5043,1980,5110.0,4791.0
5043,1990,6562.0,3843.0
5043,2000,8440.0,3113.0
5043,2010,9750.0,2044.0
5043,2017,9528.0,1378.0
5045,1970,7650.0,8131.0
5045,1980,15150.0,9306.0
5045,1990,25179.0,9615.0
5045,2000,42381.0,8468.0
5045,2010,60521.0,7628.0
5045,2017,71796.0,5371.0
5047,1970,2326.0,4324.0
5047,1980,4515.0,4313.0
5047,1990,5788.0,3850.0
5047,2000,8285.0,3369.0
5047,2010,10137.0,2051.0
5047,2017,10371.0,1654.0
5049,1970,1304.0,3521.0
5049,1980,3164.0,3338.0
5049,1990,3818.0,3142.0
5049,2000,5948.0,2295.0
5049,2010,7394.0,1519.0
5049,2017,7565.0,1143.0
5051,1970,15156.0,18595.0
5051,1980,27709.0,18584.0
5051,1990,36422.0,15479.0
5051,2000,49085.0,13609.0
5051,2010,58923.0,9572.0
5051,2017,66087.0,6824.0
5053,1970,1902.0,3651.0
5053,1980,4131.0,3599.0
5053,1990,6189.0,2800.0
5053,2000,8354.0,2470.0
5053,2010,10179.0,1915.0
5053,2017,11681.0,928.0
5055,1970,4141.0,10259.0
5055,1980,8295.0,10228.0
5055,1990,12131.0,8612.0
5055,2000,17662.0,6848.0
5055,2010,22884.0,4961.0
5055,2017,27207.0,3739.0
5057,1970,4195.0,7229.0
5057,1980,8026.0,6244.0
5057,1990,8610.0,5271.0
5057,2000,10285.0,4584.0
5057,2010,11583.0,3035.0
5057,2017,11158.0,2143.0
5059,1970,4648.0,7965.0
5059,1980,8801.0,7492.0
5059,1990,11089.0,6110.0
5059,2000,14841.0,5419.0
5059,2010,18716.0,3860.0
5059,2017,21269.0,2753.0
5061,1970,2394.0,4556.0
5061,1980,3922.0,4235.0
5061,1990,5296.0,3271.0
5061,2000,6558.0,2713.0
5061,2010,6853.0,2164.0
5061,2017,7520.0,985.0
5063,1970,4774.0,8823.0
5063,1980,9091.0,9016.0
5063,1990,12707.0,7416.0
5063,2000,17143.0,5562.0
5063,2010,20096.0,4517.0
5063,2017,22044.0,3338.0
5065,1970,1296.0,3470.0
5065,1980,3830.0,3661.0
