Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
2100 Redding Rancheria Rd Redding CA 96001         ,40.5063738,-122.3796626,"['06089', '06103', '06105']",Redding Rancheria                                                                     ,Class II & III                        ,500,     1993 ,           35000 ,          2024 ,15.0, 400000000,CA,Win-River Casino
17128 CA-76 Pauma Valley CA 92061                  ,33.306014,-116.981047,"['06073', '06065']",Rincon Band of Luiseno Mission Indians of the Rincon Reservation                      ,Class II & III                        ,1500,     2004 ,           84000 ,          2012 ,750.0, 120000000,CA,Harrah's Southern California Resort
1545 CA-20 Nice CA 95464                           ,39.122077,-122.8408747,"['06033', '06045', '06097', '06011', '06021']",Robinson Rancheria                                                                    ,Class II & III                        ,300,     1989 ,           42000 ,               ,26.4,          ,CA,Robinson Rancheria Bingo & Casino
76700 Covelo Rd Covelo CA 95428                    ,39.739449,-123.259897,"['06023', '06033', '06045', '06021', '06103', '06105']",Round Valley Indian Tribes                                                            ,Class II & III                        ,100,     2007 ,                 ,               ,2.5,          ,CA,Hidden Oaks Casino
30928 Valley Center Rd Valley Center CA 92082      ,33.23077,-116.983258,"['06073', '06065']",San Pasqual Band of Diegueno Mission Indians of California                            ,Class II & III                        ,2000,     2001 ,           65000 ,          2019 ,181.0,  50000000,CA,Valley View Casino
Lemoore CA 93245                                   ,36.3006495,-119.7827122,"['06019', '06107', '06031']",Santa Rosa Rancheria Tachi Yokut Tribe                                                ,Class II & III                        ,2000,     1994 ,          140000 ,          2021 ,120.0,  60000000,CA,Tachi Palace Hotel and Casino
3400 CA-246 Santa Ynez CA 93460                    ,34.60979403,-120.0870193,"['06079', '06083']",Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation              ,Class II & III                        ,2300,     2004 ,          115000 ,          2016 ,120.0, 160000000,CA,Chumash Casino and Resort Enterprises
100 Kawi Pl Willits CA 95490                       ,39.39293515,-123.3627933,"['06033', '06045']",Sherwood Valley Rancheria                                                             ,Class III                             ,220,     1987 ,            5000 ,               ,6.6,          ,CA,Sherwood Valley Rancheria Casino
1 Red Hawk Pkwy Placerville CA 95667               ,38.6966,-120.9077,"['06005', '06057', '06009', '06077', '06061', '06017', '06067']",Shingle Springs Band of Miwok Indians                                                 ,Class II & III                        ,2300,     2008 ,           88000 ,          2022 ,100.0,          ,CA,Red Hawk Casino
22777 Soboba Rd San Jacinto CA 92583               ,33.79650152,-116.9287718,"['06073', '06071', '06065']",Soboba Band of Luiseno Indians                                                        ,Class III                             ,2200,     1995 ,           90000 ,          2019 ,168.0, 218000000,CA,Soboba Casino
