Address                                                               ,latitude,longitude,fips_codes
15700 OK-9 Norman OK 73026                                            ,35.19028301494859,-97.25659487041474,"['40027', '40125', '40081', '40123', '40109', '40049', '40051', '40087']"
115 Evans Ave Apache OK 73006                                         ,34.89324112244898,-98.36682529591837,"['40075', '40033', '40031', '40149', '40137', '40015', '40051']"
107 N Georgetown Rd Fort Gibson OK 74434                              ,35.773963097256235,-95.26935527528788,"['40145', '40135', '40101', '40131', '40021', '40061', '40091', '40097']"
109 Cherokee Blvd Roland OK 74954                                     ,35.406106,-94.526517,"['40079', '40135', '40001', '40021', '40061', '05033', '05143', '05131']"
1621 W Ruth Ave Sallisaw OK 74955                                     ,35.4495825,-94.80742255,"['40079', '40135', '40101', '40001', '40021', '40061', '05033', '40077', '05131']"
1506 US-169 South Coffeyville OK 74072                                ,36.9879785,-95.6215486,"['40113', '40131', '40035', '20125', '40105', '20205', '20133', '40147', '20099', '20019']"
24979 US-59 Grove OK 74344                                            ,36.6023413,-94.7902701,"['05007', '40041', '40035', '29119', '20021', '40115', '29145', '40097']"
31501 US-75 Ramona OK 74061                                           ,36.5337524,-95.9290826,"['40145', '40143', '40113', '40131', '40105', '40147']"
3307 Seven Clans Ave Tahlequah OK 74464                               ,,,
2416 US-412 West Siloam Springs OK 74338                              ,36.17652402040816,-94.56610842857143,"['05007', '40041', '40001', '40021', '29119', '05033', '05143']"
777 W Cherokee St Catoosa OK 74015                                    ,36.16536205,-95.76543831451113,"['40145', '40143', '40113', '40101', '40131', '40037', '40105', '40111', '40147', '40097']"
20403 OK-33 Hammon OK 73650                                           ,35.638809,-99.370888,"['40045', '40039', '40043', '40009', '40129', '40149']"
7805 US-81 El Reno OK 73036                                           ,35.4823694,-97.9388398,"['40073', '40027', '40017', '40109', '40083', '40015', '40051', '40011', '40087']"
10347 N 2274 Rd Clinton OK 73601                                      ,,,
7777 US-81 El Reno OK 73036                                           ,35.4823694,-97.9388398,"['40073', '40027', '40017', '40109', '40083', '40015', '40051', '40011', '40087']"
301 NW Lake Road Canton OK 73724                                      ,,,
1407 S Clarence Nash Blvd Suite B Watonga OK 73772                    ,,,
